track_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Split The Atom - XOHNE Remix,0Jk2UaIvaf77TcNQssc70C,0.467,0.936,7,-1.19,1,0.284,0.00371,0.312,0.363,0.253,176.107,355556,4
Voodoo - NGHTMRE Remix,17Qks76rdTLEZkFObBNVm6,0.619,0.871,1,-3.648,1,0.294,0.00955,0.026,0.455,0.233,144.915,172138,4
Wait For Me,6z3aLbqPAinXXxEJ6NKrPQ,0.51,0.969,6,-1.853,0,0.178,0.00132,0.000707,0.186,0.385,174.036,171034,4
Could This Be - Sleepnet Remix,3ojOwZUC3fHFjQuPKnVNX0,0.464,0.877,3,-2.404,0,0.0585,0.00241,0.0653,0.394,0.222,171.786,290233,4
Hold Your Colour - Noisia Remix,7LUo3H3NYUjKhTRgYnd7fC,0.264,0.846,0,-2.671,1,0.19,0.0485,0.00115,0.147,0.0665,173.248,322937,4
Together - IMANU / Signal Remix,3JwKhW7H4pHCOvdIUB8ekx,0.272,0.956,4,-2.585,0,0.366,0.00271,0.444,0.557,0.0374,84.62,279193,4
Chant,65SsbtgsqPYv1p4Rq93fC9,0.507,0.976,0,0.774,1,0.0644,0.0215,0.23,0.154,0.209,174.046,224775,4
Alive,5pvQyQfLycBf2LpM41mwvk,0.611,0.985,7,-0.312,1,0.211,0.00735,0.0351,0.126,0.137,129.99,214168,4
BACKBONE,3HrHhTWonBqF4mDasi8xvC,0.777,0.934,2,-0.959,1,0.254,0.285,3.86e-05,0.275,0.637,88.009,166449,4
Sientelo - Sota & Circadian Remix,25Ct5BPQbhZiNEBe8cmXcm,0.551,0.929,1,-0.93,1,0.115,0.00438,0.00485,0.132,0.18,87.509,237257,4
